NO.	ANG	POL	book_unit_lesson	part_of_speech
441	plenty of	dużo	BG1_U4_L3	Słownictwo ogólne
442	take out	wyciągnąć	BG1_U4_L3	Słownictwo ogólne
443	seafood	owoce morza	BG1_U4_L3	Słownictwo ogólne
444	sell	sprzedać	BG1_U4_L3	Słownictwo ogólne
445	shop for something	kupować coś	BG1_U4_L3	Słownictwo ogólne
446	stall	stragan	BG1_U4_L3	Słownictwo ogólne
447	why	dlaczego	BG1_U4_L3	Słownictwo ogólne
448	celery	seler	BG1_U4_L4	Praca
449	coin	moneta	BG1_U4_L4	Praca
450	cost	kosztować	BG1_U4_L4	Praca
451	count	liczyć	BG1_U4_L4	Praca
452	customer	klient	BG1_U4_L4	Praca
453	discount	zniżka	BG1_U4_L4	Praca
454	equal	równać się	BG1_U4_L4	Praca
455	fridge	lodówka	BG1_U4_L4	Praca
456	healthy food	zdrowa żywność	BG1_U4_L4	Praca
457	Here you are	Proszę bardzo.	BG1_U4_L4	Praca
458	Here you go	Proszę bardzo.	BG1_U4_L4	Praca
459	notes	banknoty	BG1_U4_L4	Praca
460	pence	pensy	BG1_U4_L4	Praca
461	pounds	funty	BG1_U4_L4	Praca
462	profit	zyski	BG1_U4_L4	Praca
463	stall	stragan	BG1_U4_L4	Praca
464	There you go	Proszę bardzo.	BG1_U4_L4	Praca
465	total	suma	BG1_U4_L4	Praca
466	by	przez	BG1_U5_L1	Słownictwo ogólne
467	about	o	BG1_U5_L1	Słownictwo ogólne
468	across	po drugiej stronie	BG1_U5_L1	Słownictwo ogólne
469	balloon	balon	BG1_U5_L1	Słownictwo ogólne
470	behind	za	BG1_U5_L1	Słownictwo ogólne
471	between	pomiędzy	BG1_U5_L1	Słownictwo ogólne
472	birthday cake	tort urodzinowy	BG1_U5_L1	Słownictwo ogólne
473	candle	świeczka	BG1_U5_L1	Słownictwo ogólne
474	elderly	starszy	BG1_U5_L1	Słownictwo ogólne
475	for	dla, na	BG1_U5_L1	Słownictwo ogólne
476	forget	zapominać	BG1_U5_L1	Słownictwo ogólne
477	gift	prezent	BG1_U5_L1	Słownictwo ogólne
478	guess	zgadywać	BG1_U5_L1	Słownictwo ogólne
479	guest	gość	BG1_U5_L1	Słownictwo ogólne
480	idea	pomysł	BG1_U5_L1	Słownictwo ogólne
481	in front of	przed	BG1_U5_L1	Słownictwo ogólne
482	invitation	zaproszenie	BG1_U5_L1	Słownictwo ogólne
483	invite	zapraszać	BG1_U5_L1	Słownictwo ogólne
484	like	jak	BG1_U5_L1	Słownictwo ogólne
485	nearly	prawie, niemalże	BG1_U5_L1	Słownictwo ogólne
486	next to	obok	BG1_U5_L1	Słownictwo ogólne
487	of	(oznacza relację kogo? czego?)	BG1_U5_L1	Słownictwo ogólne
488	opposite	naprzeciwko	BG1_U5_L1	Słownictwo ogólne
489	party	przyjęcie, impreza	BG1_U5_L1	Słownictwo ogólne
490	present	prezent	BG1_U5_L1	Słownictwo ogólne
491	send	wysyłać	BG1_U5_L1	Słownictwo ogólne
492	sociable	towarzyski	BG1_U5_L1	Słownictwo ogólne
493	stamp	znaczek	BG1_U5_L1	Słownictwo ogólne
494	surprise	niespodzianka	BG1_U5_L1	Słownictwo ogólne
495	anniversary	rocznica	BG1_U5_L2	Słownictwo ogólne
496	attend	uczestniczyć	BG1_U5_L2	Słownictwo ogólne
497	bring	przynosić, przyprowadzać	BG1_U5_L2	Słownictwo ogólne
498	catch-up	nadrabianie zaległości	BG1_U5_L2	Słownictwo ogólne
499	congratulations	gratulacje	BG1_U5_L2	Słownictwo ogólne
500	engagement	zaręczyny	BG1_U5_L2	Słownictwo ogólne
501	graduation	ukończenie szkoły	BG1_U5_L2	Słownictwo ogólne
502	joke	żart	BG1_U5_L2	Słownictwo ogólne
503	join	dołączyć	BG1_U5_L2	Słownictwo ogólne
504	last	ostatni	BG1_U5_L2	Słownictwo ogólne
505	lovely	cudowny	BG1_U5_L2	Słownictwo ogólne
506	occasion	okazja	BG1_U5_L2	Słownictwo ogólne
507	odds	szanse	BG1_U5_L2	Słownictwo ogólne
508	quick	szybki	BG1_U5_L2	Słownictwo ogólne
509	wedding	ślub	BG1_U5_L2	Słownictwo ogólne
510	wishes	życzenia	BG1_U5_L2	Słownictwo ogólne
511	wonderful	cudowny, wspaniały	BG1_U5_L2	Słownictwo ogólne
512	ability	umiejętność	BG1_U5_L3	Słownictwo ogólne
513	beautifully	pięknie	BG1_U5_L3	Słownictwo ogólne
514	be good at something	być w czymś dobrym	BG1_U5_L3	Słownictwo ogólne
515	classes	zajęcia, lekcje	BG1_U5_L3	Słownictwo ogólne
516	equal	równy	BG1_U5_L3	Słownictwo ogólne
517	even out	wyrównywać	BG1_U5_L3	Słownictwo ogólne
518	exercise	ćwiczyć	BG1_U5_L3	Słownictwo ogólne
519	forget	zapominać	BG1_U5_L3	Słownictwo ogólne
520	improve	polepszać	BG1_U5_L3	Słownictwo ogólne
521	make a mistake	zrobić błąd	BG1_U5_L3	Słownictwo ogólne
522	practise	ćwiczyć	BG1_U5_L3	Słownictwo ogólne
523	struggle	mieć trudności	BG1_U5_L3	Słownictwo ogólne
524	well	dobrze	BG1_U5_L3	Słownictwo ogólne
525	accept	akceptować	BG1_U5_L4	Słownictwo ogólne
526	advertisement	ogłoszenie	BG1_U5_L4	Słownictwo ogólne
527	application	aplikacja, podanie	BG1_U5_L4	Słownictwo ogólne
528	apply	aplikować	BG1_U5_L4	Słownictwo ogólne
529	at times	czasami	BG1_U5_L4	Słownictwo ogólne
530	boring	nudny	BG1_U5_L4	Słownictwo ogólne
531	degree in	tytuł naukowy z	BG1_U5_L4	Słownictwo ogólne
532	diary	dziennik	BG1_U5_L4	Słownictwo ogólne
533	difficult	trudny	BG1_U5_L4	Słownictwo ogólne
534	dream	marzenie	BG1_U5_L4	Słownictwo ogólne
535	easy	łatwy	BG1_U5_L4	Słownictwo ogólne
536	exciting	ekscytujący	BG1_U5_L4	Słownictwo ogólne
537	eye-opening	pouczający, otwierający oczy	BG1_U5_L4	Słownictwo ogólne
538	finish	kończyć	BG1_U5_L4	Słownictwo ogólne
539	get	dostać	BG1_U5_L4	Słownictwo ogólne
540	give	dać	BG1_U5_L4	Słownictwo ogólne
541	graduate	kończyć szkołę	BG1_U5_L4	Słownictwo ogólne
542	interview	wywiad, rozmowa kwalifikacyjna	BG1_U5_L4	Słownictwo ogólne
543	job	praca	BG1_U5_L4	Słownictwo ogólne
544	break up	rozstać się	BG2_U1_L1	Słownictwo ogólne
545	cigarette	papieros	BG2_U1_L1	Słownictwo ogólne
546	difficult	trudne	BG2_U1_L1	Słownictwo ogólne
547	eco-friendly	przyjazne dla środowiska	BG2_U1_L1	Słownictwo ogólne
548	find a job	znaleźć pracę	BG2_U1_L1	Słownictwo ogólne
549	guess	zgadywać	BG2_U1_L1	Słownictwo ogólne
550	guy	facet	BG2_U1_L1	Słownictwo ogólne
551	guys	ludzie	BG2_U1_L1	Słownictwo ogólne
552	gym	siłownia	BG2_U1_L1	Słownictwo ogólne
553	hard	twarde / trudne	BG2_U1_L1	Słownictwo ogólne
554	hate	nienawidzić	BG2_U1_L1	Słownictwo ogólne
555	healthy	zdrowy	BG2_U1_L1	Słownictwo ogólne
556	junk food	śmieciowe jedzenie	BG2_U1_L1	Słownictwo ogólne
557	lazy	leniwy	BG2_U1_L1	Słownictwo ogólne
558	lose weight	stracić na wadze	BG2_U1_L1	Słownictwo ogólne
559	move	ruszać się / przeprowadzić się	BG2_U1_L1	Słownictwo ogólne
560	New Year's resolution	postanowienie noworoczne	BG2_U1_L1	Słownictwo ogólne
561	paperwork	papierkowa robota	BG2_U1_L1	Słownictwo ogólne
562	quit	rzucać	BG2_U1_L1	Słownictwo ogólne
563	save money	oszczędzać pieniądze	BG2_U1_L1	Słownictwo ogólne
564	sociable	towarzyski	BG2_U1_L1	Słownictwo ogólne
565	spend money	wydawać pieniądze	BG2_U1_L1	Słownictwo ogólne
566	suppose	przypuszczać	BG2_U1_L1	Słownictwo ogólne
567	sweets	słodycze	BG2_U1_L1	Słownictwo ogólne
568	love of my life	miłość mojego życia	BG2_U1_L1	Słownictwo ogólne
569	tired	zmęczony	BG2_U1_L1	Słownictwo ogólne
570	tiring	męczący	BG2_U1_L1	Słownictwo ogólne
571	unhealthy	niezdrowy	BG2_U1_L1	Słownictwo ogólne
572	upset	rozzłoszczony	BG2_U1_L1	Słownictwo ogólne
573	waste of time	strata czasu	BG2_U1_L1	Słownictwo ogólne
574	water the plants	podlewać rośliny	BG2_U1_L1	Słownictwo ogólne
575	good idea	dobry pomysł	BG2_U1_L2	Słownictwo ogólne
576	as soon as possible	tak szybko jak to możliwe	BG2_U1_L2	Słownictwo ogólne
577	birthday	urodziny	BG2_U1_L2	Słownictwo ogólne
578	birthday party	przyjęcie urodzinowe	BG2_U1_L2	Słownictwo ogólne
579	boyfriend	chłopak	BG2_U1_L2	Słownictwo ogólne
580	colleague	kolega z pracy	BG2_U1_L2	Słownictwo ogólne
581	come back	wracać	BG2_U1_L2	Słownictwo ogólne
582	decide	zdecydować	BG2_U1_L2	Słownictwo ogólne
583	dump	rzucić	BG2_U1_L2	Słownictwo ogólne
584	enrol	zapisać się	BG2_U1_L2	Słownictwo ogólne
585	fly	latać	BG2_U1_L2	Słownictwo ogólne
586	future	przyszłość	BG2_U1_L2	Słownictwo ogólne
587	go ahead	dalej	BG2_U1_L2	Słownictwo ogólne
588	haircut	fryzura	BG2_U1_L2	Słownictwo ogólne
589	have fun	bawić się	BG2_U1_L2	Słownictwo ogólne
590	less	mniej	BG2_U1_L2	Słownictwo ogólne
591	listen	posłuchaj	BG2_U1_L2	Słownictwo ogólne
592	listen up	posłuchaj	BG2_U1_L2	Słownictwo ogólne
593	man	stary	BG2_U1_L2	Słownictwo ogólne
594	meeting	spotkanie	BG2_U1_L2	Słownictwo ogólne
595	plan	plan	BG2_U1_L2	Słownictwo ogólne
596	promise	obietnica	BG2_U1_L2	Słownictwo ogólne
597	serious	poważny	BG2_U1_L2	Słownictwo ogólne
598	should	powinieneś	BG2_U1_L2	Słownictwo ogólne
599	sunbathe	opalać się	BG2_U1_L2	Słownictwo ogólne
600	sure	pewny	BG2_U1_L2	Słownictwo ogólne
601	take an exam	przystąpić do egzaminu	BG2_U1_L2	Słownictwo ogólne
602	think positive	myśleć pozytywnie	BG2_U1_L2	Słownictwo ogólne
603	upset	rozdrażniony	BG2_U1_L2	Słownictwo ogólne
604	visit	odwiedzać	BG2_U1_L2	Słownictwo ogólne
605	whole	cały	BG2_U1_L2	Słownictwo ogólne
606	amazing	niesamowite	BG2_U1_L3	Słownictwo ogólne
607	apartment	mieszkanie (U.S.)	BG2_U1_L3	Słownictwo ogólne
608	argue	kłócić się	BG2_U1_L3	Słownictwo ogólne
609	bad habit	zły nawyk	BG2_U1_L3	Słownictwo ogólne
610	book	rezerwować	BG2_U1_L3	Słownictwo ogólne
611	boss	szef	BG2_U1_L3	Słownictwo ogólne
612	coffee shop	kawiarnia	BG2_U1_L3	Słownictwo ogólne
613	cottage	chata / domek na wsi	BG2_U1_L3	Słownictwo ogólne
614	dye	farbować	BG2_U1_L3	Słownictwo ogólne
615	flat	mieszkanie (U.K.)	BG2_U1_L3	Słownictwo ogólne
616	get drunk	upić się	BG2_U1_L3	Słownictwo ogólne
617	give up	rzucać	BG2_U1_L3	Słownictwo ogólne
618	should	powinieneś	BG2_U1_L3	Słownictwo ogólne
619	snack	przekąska	BG2_U1_L3	Słownictwo ogólne
620	store	sklep	BG2_U1_L3	Słownictwo ogólne
621	take up	rozpocząć	BG2_U1_L3	Słownictwo ogólne
622	the country	wieś	BG2_U1_L3	Słownictwo ogólne
623	the seaside	wybrzeże	BG2_U1_L3	Słownictwo ogólne
624	amazing	niesamowity	BG2_U1_L4	Słownictwo ogólne
625	angry	zły	BG2_U1_L4	Słownictwo ogólne
626	argue	kłócić się	BG2_U1_L4	Słownictwo ogólne
627	ask somebody out	zaprosić kogoś na randkę	BG2_U1_L4	Słownictwo ogólne
628	attractive	atrakcyjny	BG2_U1_L4	Słownictwo ogólne
629	believe	wierzyć	BG2_U1_L4	Słownictwo ogólne
630	bored	znudzony	BG2_U1_L4	Słownictwo ogólne
631	break	przerwa	BG2_U1_L4	Słownictwo ogólne
632	change one's wardrobe	wymieniać garderobę	BG2_U1_L4	Słownictwo ogólne
633	date	randka	BG2_U1_L4	Słownictwo ogólne
634	ex-boyfriend	były chłopak	BG2_U1_L4	Słownictwo ogólne
635	excited	podekscytowany	BG2_U1_L4	Słownictwo ogólne
636	fitness trainer	trener fitness	BG2_U1_L4	Słownictwo ogólne
637	forget	zapominać	BG2_U1_L4	Słownictwo ogólne
638	get back together	wracać do siebie	BG2_U1_L4	Słownictwo ogólne
639	hairdo	fryzura, uczesanie	BG2_U1_L4	Słownictwo ogólne
640	handsome	przystojny	BG2_U1_L4	Słownictwo ogólne
641	have a conversation	rozmawiać	BG2_U1_L4	Słownictwo ogólne
642	impossible	niemożliwy	BG2_U1_L4	Słownictwo ogólne
643	impressed	pod wrażeniem	BG2_U1_L4	Słownictwo ogólne
644	personal changes	osobiste zmiany	BG2_U1_L4	Słownictwo ogólne
645	personal stylist	osobisty stylista	BG2_U1_L4	Słownictwo ogólne
646	relaxed	zrelaksowany	BG2_U1_L4	Słownictwo ogólne
647	self-improvement	ulepszanie siebie	BG2_U1_L4	Słownictwo ogólne
648	shocked	zszokowany	BG2_U1_L4	Słownictwo ogólne
649	shout	krzyczeć	BG2_U1_L4	Słownictwo ogólne
650	tired	zmęczony	BG2_U1_L4	Słownictwo ogólne
651	website	strona internetowa	BG2_U1_L4	Słownictwo ogólne
652	answer the phone	odebrać telefon	BG2_U2_L1	Rozmowy telefoniczne
653	available	dostępny, osiągalny	BG2_U2_L1	Rozmowy telefoniczne
654	appointment	spotkanie, wizyta	BG2_U2_L1	Rozmowy telefoniczne
655	call somebody	dzwonić do kogoś	BG2_U2_L1	Rozmowy telefoniczne
656	call back	oddzwonić	BG2_U2_L1	Rozmowy telefoniczne
657	dial a number	wykręcić numer	BG2_U2_L1	Rozmowy telefoniczne
658	directory	książka telefoniczna	BG2_U2_L1	Rozmowy telefoniczne
659	hold	czekać	BG2_U2_L1	Rozmowy telefoniczne
660	leave a message	zostawić wiadomość	BG2_U2_L1	Rozmowy telefoniczne
661	make sure	upewnić się	BG2_U2_L1	Rozmowy telefoniczne
662	pick up the phone	odebrać telefon	BG2_U2_L1	Rozmowy telefoniczne
663	put somebody through	przełączyć kogoś	BG2_U2_L1	Rozmowy telefoniczne
664	slow down	zwolnić	BG2_U2_L1	Rozmowy telefoniczne
665	speak up	mówić głośniej	BG2_U2_L1	Rozmowy telefoniczne
666	take a message	przyjąć wiadomość	BG2_U2_L1	Rozmowy telefoniczne
667	have fun	dobrze się bawić	BG2_U2_L1	Słownictwo ogólne
668	I guess	sądzę, przypuszczam	BG2_U2_L1	Słownictwo ogólne
669	I'm afraid	 obawiam się, że	BG2_U2_L1	Słownictwo ogólne
670	toothache	ból zęba	BG2_U2_L1	Słownictwo ogólne
671	beautician	kosmetyczka (zawód)	BG2_U2_L2	Słownictwo ogólne
672	both	oboje, obie, obydwa	BG2_U2_L2	Słownictwo ogólne
673	carpenter	stolarz	BG2_U2_L2	Słownictwo ogólne
674	have a degree in	mieć dyplom z...	BG2_U2_L2	Słownictwo ogólne
675	lazy	leniwy	BG2_U2_L2	Słownictwo ogólne
676	sort	rodzaj	BG2_U2_L2	Słownictwo ogólne
677	workplace	miejsce pracy	BG2_U2_L2	Słownictwo ogólne
678	addition	dodawanie	BG2_U2_L2	Działania matematyczne
679	decimal fraction	ułamek dziesiętny	BG2_U2_L2	Działania matematyczne
680	divided by	podzielone przez	BG2_U2_L2	Działania matematyczne
681	division	dzielenie	BG2_U2_L2	Działania matematyczne
682	equal	równać się	BG2_U2_L2	Działania matematyczne
683	fraction	ułamek	BG2_U2_L2	Działania matematyczne
684	less than	mniej niż	BG2_U2_L2	Działania matematyczne
685	minus	minus, odjąć	BG2_U2_L2	Działania matematyczne
686	more than	większy niż	BG2_U2_L2	Działania matematyczne
687	multiplication	mnożenie	BG2_U2_L2	Działania matematyczne
688	subtraction	odejmowanie	BG2_U2_L2	Działania matematyczne
689	times	pomnożone przez	BG2_U2_L2	Działania matematyczne
690	be bad at something	być kiepskim w czymś	BG2_U2_L2	Cechy, umiejętności
691	be good at	być dobrym w	BG2_U2_L2	Cechy, umiejętności
692	communication skills	umiejętności komunikacyjne, komunikatywność	BG2_U2_L2	Cechy, umiejętności
693	be a good listener	byc dobrym słuchaczem	BG2_U2_L2	Cechy, umiejętności
694	hardworking	pracowity	BG2_U2_L2	Cechy, umiejętności
695	punctual	punktualny	BG2_U2_L2	Cechy, umiejętności
696	reliable	godny zaufania, taki, na którym można polegać	BG2_U2_L2	Cechy, umiejętności
697	teamwork	praca w zespole	BG2_U2_L2	Cechy, umiejętności
698	work in a team	pracować w zespole	BG2_U2_L2	Cechy, umiejętności
699	work on one's own	pracować samemu	BG2_U2_L2	Cechy, umiejętności
700	as soon as possible	jak najszybciej / tak szybko, jak to możliwe	BG2_U2_L3	Umawianie spotkań
701	busy	zajęty	BG2_U2_L3	Umawianie spotkań
702	fully booked	w pełni zarezerwowany	BG2_U2_L3	Umawianie spotkań
703	full medical check	pełne badania lekarskie	BG2_U2_L3	Umawianie spotkań
704	if possible	jeśli to możliwe	BG2_U2_L3	Umawianie spotkań
705	make an appointment	umówić wizytę	BG2_U2_L3	Umawianie spotkań
706	write down	zapisać	BG2_U2_L3	Umawianie spotkań
707	We look forward to seeing you	Z niecierpliwością czekamy na kolejne spotkanie	BG2_U2_L3	Umawianie spotkań
708	apply for a job	ubiegać się o pracę	BG2_U2_L4	Praca
709	day shift	dzienna zmiana	BG2_U2_L4	Praca
710	employ	zatrudniać	BG2_U2_L4	Praca
711	get a job	dostać pracę	BG2_U2_L4	Praca
712	look for a job	szukać pracy	BG2_U2_L4	Praca
713	manual work	praca ręczna / fizyczna	BG2_U2_L4	Praca
714	night shift	nocna zmiana	BG2_U2_L4	Praca
715	office work	praca biurowa	BG2_U2_L4	Praca
716	position	pozycja, stanowisko	BG2_U2_L4	Praca
717	run a business	prowadzić biznes	BG2_U2_L4	Praca
718	salary	pensja	BG2_U2_L4	Praca
719	staff	personel	BG2_U2_L4	Praca
720	almost	prawie	BG2_U2_L4	Słownictwo ogólne
721	cool	świetnie	BG2_U2_L4	Słownictwo ogólne
722	how far	jak daleko ...?	BG2_U2_L4	Słownictwo ogólne
723	how fast	jak szybko ...?	BG2_U2_L4	Słownictwo ogólne
724	how much is it	ile to kosztuje?	BG2_U2_L4	Słownictwo ogólne
725	how old	w jakim wieku ...?	BG2_U2_L4	Słownictwo ogólne
726	kph	kilometrów na godzinę	BG2_U2_L4	Słownictwo ogólne
727	mph	mil na godzinę	BG2_U2_L4	Słownictwo ogólne
728	pay by card	płacić kartą	BG2_U2_L4	Słownictwo ogólne
729	pay by cash	płacić gotówką	BG2_U2_L4	Słownictwo ogólne
730	per kilo	za kilogram	BG2_U2_L4	Słownictwo ogólne
731	range	wahać się	BG2_U2_L4	Słownictwo ogólne
732	backpacking	podróżowanie z plecakiem	BG2_U3_L1	Wakacje
733	cruise	rejs	BG2_U3_L1	Wakacje
734	destination	cel podróży	BG2_U3_L1	Wakacje
735	hiking	piesza wędrówka	BG2_U3_L1	Wakacje
736	package tour	zorganizowana wycieczka	BG2_U3_L1	Wakacje
737	spend holiday	spędzać wakacje	BG2_U3_L1	Wakacje
738	stay	zostać	BG2_U3_L1	Wakacje
739	amazing	niesamowity	BG2_U3_L1	Słownictwo ogólne
740	anniversary	rocznica	BG2_U3_L1	Słownictwo ogólne
741	boring	nudny	BG2_U3_L1	Słownictwo ogólne
742	dangerous	niebezpieczny	BG2_U3_L1	Słownictwo ogólne
743	entertaining	dostarczający rozrywki	BG2_U3_L1	Słownictwo ogólne
744	excited	podekscytowany	BG2_U3_L1	Słownictwo ogólne
745	exciting	ekscytujący	BG2_U3_L1	Słownictwo ogólne
746	fun	dobra zabawa	BG2_U3_L1	Słownictwo ogólne
747	generation gap	różnica pokoleniowa	BG2_U3_L1	Słownictwo ogólne
748	interesting	interesujący	BG2_U3_L1	Słownictwo ogólne
749	island	wyspa	BG2_U3_L1	Słownictwo ogólne
750	make a decision	podjąć decyzję	BG2_U3_L1	Słownictwo ogólne
751	ship	statek	BG2_U3_L1	Słownictwo ogólne
752	calm	spokojny	BG2_U3_L2	Opisywanie osób
753	confident	pewny siebie	BG2_U3_L2	Opisywanie osób
754	crazy	szalony	BG2_U3_L2	Opisywanie osób
755	fit	wysportowany	BG2_U3_L2	Opisywanie osób
756	handsome	przystojny	BG2_U3_L2	Opisywanie osób
757	personality	osobowość	BG2_U3_L2	Opisywanie osób
758	pretty	ładny	BG2_U3_L2	Opisywanie osób
759	shy	nieśmiały	BG2_U3_L2	Opisywanie osób
760	strong	silny	BG2_U3_L2	Opisywanie osób
761	thin	szczupły	BG2_U3_L2	Opisywanie osób
762	ugly	brzydki	BG2_U3_L2	Opisywanie osób
763	wrinkle	zmarszczka	BG2_U3_L2	Opisywanie osób
764	change	zmieniać	BG2_U3_L2	Słownictwo ogólne
765	convenient	dogodny	BG2_U3_L2	Słownictwo ogólne
766	different	inny	BG2_U3_L2	Słownictwo ogólne
767	embarrassing	żenujący	BG2_U3_L2	Słownictwo ogólne
768	game show	konkurs	BG2_U3_L2	Słownictwo ogólne
769	peace and quiet	spokój i cisza	BG2_U3_L2	Słownictwo ogólne
770	past	przeszły	BG2_U3_L2	Słownictwo ogólne
771	similar	podobny	BG2_U3_L2	Słownictwo ogólne
772	at first sight	od pierwszego wejrzenia	BG2_U3_L3	Słownictwo ogólne
773	celebrate	świętować	BG2_U3_L3	Słownictwo ogólne
774	contestant	uczestnik	BG2_U3_L3	Słownictwo ogólne
775	date	randka	BG2_U3_L3	Słownictwo ogólne
776	excellent	doskonały	BG2_U3_L3	Słownictwo ogólne
777	fall in love	zakochać się	BG2_U3_L3	Słownictwo ogólne
778	favourite	ulubiony	BG2_U3_L3	Słownictwo ogólne
779	find out	dowiedzieć się	BG2_U3_L3	Słownictwo ogólne
780	honeymoon	miesiąc miodowy	BG2_U3_L3	Słownictwo ogólne
781	innocent	niewinny	BG2_U3_L3	Słownictwo ogólne
782	personal	osobisty	BG2_U3_L3	Słownictwo ogólne
783	point	punkt	BG2_U3_L3	Słownictwo ogólne
784	audience	publiczność	BG2_U3_L4	Słownictwo ogólne
785	brave	dzielny	BG2_U3_L4	Słownictwo ogólne
786	competition	zawody, konkurs	BG2_U3_L4	Słownictwo ogólne
787	fun	dobra zabawa	BG2_U3_L4	Słownictwo ogólne
788	funny	zabawny	BG2_U3_L4	Słownictwo ogólne
789	get into trouble	wpaść w kłopoty	BG2_U3_L4	Słownictwo ogólne
790	impressed	pod wrażeniem	BG2_U3_L4	Słownictwo ogólne
791	lion tamer	poskramiacz lwów	BG2_U3_L4	Słownictwo ogólne
792	naked	nagi	BG2_U3_L4	Słownictwo ogólne
793	skinny	chudy, kościsty	BG2_U3_L4	Słownictwo ogólne
794	sword	miecz	BG2_U3_L4	Słownictwo ogólne
795	wild	dziki, szalony	BG2_U3_L4	Słownictwo ogólne
796	wise	mądry	BG2_U3_L4	Słownictwo ogólne
797	accommodation	zakwaterowanie	BG2_U4_L1	Wakacje
798	active holiday	aktywne wakacje	BG2_U4_L1	Wakacje
799	art gallery	galeria sztuki	BG2_U4_L1	Wakacje
800	backpacking	wędrówka z plecakiem	BG2_U4_L1	Wakacje
801	beach holiday	wakacje na plaży	BG2_U4_L1	Wakacje
802	big waves	duże fale	BG2_U4_L1	Wakacje
803	camping	biwakowanie	BG2_U4_L1	Wakacje
804	campsite	pole namiotowe	BG2_U4_L1	Wakacje
805	check in	zameldować się	BG2_U4_L1	Wakacje
806	city break	wakacje w mieście	BG2_U4_L1	Wakacje
807	cosmopolitan	kosmopolityczny	BG2_U4_L1	Wakacje
808	destination	cel (podróży)	BG2_U4_L1	Wakacje
809	forest	las	BG2_U4_L1	Wakacje
810	hotel	hotel	BG2_U4_L1	Wakacje
811	monument	zabytek / pomnik	BG2_U4_L1	Wakacje
812	museum	muzeum	BG2_U4_L1	Wakacje
813	passport	paszport	BG2_U4_L1	Wakacje
814	peace and quiet	cisza i spokój	BG2_U4_L1	Wakacje
815	plane ticket	bilet lotniczy	BG2_U4_L1	Wakacje
816	resort	kurort	BG2_U4_L1	Wakacje
817	restaurant	restauracja	BG2_U4_L1	Wakacje
818	sandy	piaszczyste	BG2_U4_L1	Wakacje
819	sightseeing	zwiedzanie	BG2_U4_L1	Wakacje
820	sleeping bag	śpiwór	BG2_U4_L1	Wakacje
821	souvenir	pamiątka	BG2_U4_L1	Wakacje
822	sunbathing	opalanie	BG2_U4_L1	Wakacje
823	sun cream	krem przeciwsłoneczny	BG2_U4_L1	Wakacje
824	tent	namiot	BG2_U4_L1	Wakacje
825	torch	latarka	BG2_U4_L1	Wakacje
826	turn down	ściszyć	BG2_U4_L1	Wakacje
827	art gallery	galeria sztuki	BG2_U4_L2	Wakacje w mieście
828	ancient	starożytny	BG2_U4_L2	Wakacje w mieście
829	bustling	tętniący życiem	BG2_U4_L2	Wakacje w mieście
830	cathedral	katedra	BG2_U4_L2	Wakacje w mieście
831	church	kościół	BG2_U4_L2	Wakacje w mieście
832	cosmopolitan	kosmopolityczny	BG2_U4_L2	Wakacje w mieście
833	crowded	zatłoczony	BG2_U4_L2	Wakacje w mieście
834	fountain	fontanna	BG2_U4_L2	Wakacje w mieście
835	lively	pełen życia	BG2_U4_L2	Wakacje w mieście
836	main square	główny plac / rynek	BG2_U4_L2	Wakacje w mieście
837	modern	nowoczesny	BG2_U4_L2	Wakacje w mieście
838	museum	muzeum	BG2_U4_L2	Wakacje w mieście
839	monument	zabytek / pomnik	BG2_U4_L2	Wakacje w mieście
840	picturesque	malowniczy	BG2_U4_L2	Wakacje w mieście
841	polluted	zanieczyszczony	BG2_U4_L2	Wakacje w mieście
842	shopping centre	centrum handlowe	BG2_U4_L2	Wakacje w mieście
843	statue	pomnik	BG2_U4_L2	Wakacje w mieście
844	stay at	zatrzymać się w	BG2_U4_L2	Wakacje w mieście
845	think something through	przemyśleć	BG2_U4_L2	Wakacje w mieście
846	touristy	nastawione na turystów (negatywne)	BG2_U4_L2	Wakacje w mieście
847	visit to	wizyta w	BG2_U4_L2	Wakacje w mieście
848	boiling hot	upalnie	BG2_U4_L3	Pogoda
849	breeze	bryza	BG2_U4_L3	Pogoda
850	chilly	chłodno	BG2_U4_L3	Pogoda
851	cloud	chmura	BG2_U4_L3	Pogoda
852	cloudy	pochmurno	BG2_U4_L3	Pogoda
853	degrees Centigrade	stopnie Celsjusza	BG2_U4_L3	Pogoda
854	dry	sucho	BG2_U4_L3	Pogoda
855	fog	mgła	BG2_U4_L3	Pogoda
856	foggy	mgliście	BG2_U4_L3	Pogoda
857	freezing	mroźnie	BG2_U4_L3	Pogoda
858	humid	wilgotno	BG2_U4_L3	Pogoda
859	rain	deszcz	BG2_U4_L3	Pogoda
860	rainy	deszczowo	BG2_U4_L3	Pogoda
861	snow	śnieg	BG2_U4_L3	Pogoda
862	snowy	śnieżnie	BG2_U4_L3	Pogoda
863	storm	burza / sztorm	BG2_U4_L3	Pogoda
864	sun	słońce	BG2_U4_L3	Pogoda
865	sunny	słonecznie	BG2_U4_L3	Pogoda
866	thunder and lightning	grzmot i błyskawica	BG2_U4_L3	Pogoda
867	warm	ciepło	BG2_U4_L3	Pogoda
868	weather forecast	prognoza pogody	BG2_U4_L3	Pogoda
869	wet	mokro	BG2_U4_L3	Pogoda
870	wind	wiatr	BG2_U4_L3	Pogoda
